metric,mean,std
abalone_performance,2.271284147370695,0.056234492904349426
abalone_time_used,197.66666666666666,84.13217114886685
airbnb_melbourne_performance,0.3851665574489666,0.0018626609885203573
airbnb_melbourne_time_used,93.0,10.614455552060438
airlines_performance,0.631026413173467,0.01662276419078245
airlines_time_used,144.33333333333334,44.79087208597553
bioresponse_performance,0.8541296032831737,0.038394712905336005
bioresponse_time_used,123.33333333333333,30.136725472788548
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-1.4448059510276365,0.17244254517799365
cd18_time_used,115.0,22.37558192911788
climate_fever_performance,0.19565416576185277,0.051199276071775685
climate_fever_time_used,449.6666666666667,409.6708706049555
covertype_performance,0.9176613289787618,0.054212591664199665
covertype_time_used,83.0,6.164414002968976
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,0.43519,0.0
europeanflooddepth_time_used,219.0,0.0
fiqabeir_performance,0.1988003691199061,0.00025963088009389734
fiqabeir_time_used,145.5,25.5
gnad10_performance,0.8462302961389031,0.0011763366318698599
gnad10_time_used,123.33333333333333,6.128258770283411
ham10000_performance,0.47117105623414174,0.02788754457967331
ham10000_time_used,208.66666666666666,185.50890963928273
hateful_meme_performance,0.47638277510346966,0.0709134717824816
hateful_meme_time_used,96.66666666666667,25.48637980482037
isic2017_performance,0.11121,0.0
isic2017_time_used,473.0,0.0
kick_starter_funding_performance,0.3364383395566301,0.036351431571238546
kick_starter_funding_time_used,85.66666666666667,16.579773487261185
memotion_performance,0.7605692219679634,0.058767162471395906
memotion_time_used,123.5,28.5
mldoc_performance,0.8199623420703044,0.08250075946233398
mldoc_time_used,179.0,31.822423959633664
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,0.3962505911286716,4.1799109229777215e-07
petfinder_time_used,96.66666666666667,21.171259344267224
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-1.2856539530302675,0.0
solar_10_minutes_time_used,221.0,0.0
women_clothing_review_performance,0.34532946901819,0.2344808134645022
women_clothing_review_time_used,119.0,34.75629439396553
yolanda_performance,9.428992089823982,0.23913792005820225
yolanda_time_used,98.66666666666667,26.081070189358073
success_rate,0.6933333333333334,0.03771236166328251
success_rate,0.6933333333333334,0.03771236166328251
